Product,Amazon CA Retail,50% (Min Bid),70% (Max Sell),FB Listed Price,FB Status,Enquiries,Their Ask
Dreame D20 Plus Robot Vacuum & Mop,$399,$200,$279,—,Not listed,Meera,—
Dreame D20 Air Plus Robot Vacuum & Mop (White),$449,$225,$314,—,Not listed,"Steven ($150); Random",Steven $150
Dreame D20 Air Plus Robot Vacuum & Mop (Black),$449,$225,$314,—,Not listed,,
Dreame L40 Ultra Gen 2 Robot Vacuum & Mop,$899,$450,$629,—,Not listed,"Braulio; May; Elle","Elle $350–$450"
Dreame L40s Ultra AE Robot Vacuum & Mop,$799,$400,$559,—,Not listed,Akash,—
Dreame X60 Ultra Robot Vacuum & Mop,$1299,$650,$909,—,Not listed,,
MOVA E40 Ultra Robot Vacuum & Mop,$499,$250,$349,—,Not listed,Mina,~$180 (low)
MOVA P10 Pro Ultra Robot Vacuum & Mop,$599,$300,$419,—,Not listed,,
Shark Vertex Pro Cordless Vacuum IZ662H,$349,$175,$244,CA$199,Active,,
Shark PowerDetect Cordless Stick Vacuum IP1251C,$399,$200,$279,CA$429,Active (above retail!),,
Shark Matrix Self-Empty Robot Vacuum RV2305CA,$599,$300,$419,—,Not listed,,
Ninja BL780C All-in-One Kitchen System,$199,$100,$139,—,Not listed,"Nana; Okey",—
Ninja BL660C Professional Countertop Blender,$99,$50,$69,—,Not listed,"Anand; Daryl; Ale","Daryl $50"
Ninja Pro Plus 850W Food Processor 9-Cup,$149,$75,$104,—,Not listed,,
Ninja Crispi Portable Glass Air Fryer System,$179,$90,$125,—,Not listed,Seyma,—
Ninja Air Fryer Pro 4-in-1 5 QT AF141C,$129,$65,$90,—,Not listed,,
Ninja Air Fryer Pro XL 6-in-1 6.5 QT AF161C,$149,$75,$104,—,Not listed,,
Ninja AF100C Air Fryer 4 QT,$99,$50,$69,—,Not listed,,
Ninja BN400C Personal Nutri Blender Pro 1000W,$79,$40,$55,—,Not listed,,
Logitech MX Keys S Wireless Keyboard — Gray,$129,$65,$90,—,Not listed,,
Alienware AW2725DF OLED Gaming Monitor 27",$999,$500,$699,—,Not listed,Cole,FB listed price
Samsung 27" FHD IPS Monitor LS27D300GANXZA,$229,$115,$160,—,Not listed,,
